process,step,Hongming,Haoyu,Yuqian,ground_true_relabel,id
Apply for a Marriage License in Kentucky - Getting a Marriage License in Kentucky if Both Parties are over 18,Pay the fee for the marriage license,1,1,1,1,99
Change the Root Password in Linux - With the Current Root Password,Type a new password and press ↵ Enter,1,1,1,1,100
Undo a Bra One Handed - Familiarizing Yourself with a Bra,Check out the mechanism that keeps a bra fastened,1,1,1,1,101
Get Married in Oregon - Planning a Wedding Ceremony,Decide on the type of ceremony,1,1,1,1,102
Write a Customer Relationship Management Plan - Writing Your CRM Plan,Specify how the business meets or will meet customer needs,1,1,1,1,103
Cook Brazilian Rice - Method One: Traditional Brazilian Rice,Stir in the rice and salt,1,1,1,1,104
Play iPad Videos on TV - Using an Adapter,Change your TV's input to the iPad's cable,1,1,1,1,105
Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS,Get a prepaid AT&T GoPhone,0,1,0,0,106
Make a Vanilla Cake - Basic Vanilla Cake,Pour the vanilla extract and milk,1,1,1,1,107
Survive in the Woods - Starting a Fire,"Find small, dry material to use as tinder",1,1,1,1,108
Brown a Roast for Cooking in a Crockpot,Rinse the roast with cold water,1,1,1,1,109
Test the Heating Element in a Dryer - Examining an Electric Dryer,Put the dryer back together and plug it in,1,1,1,1,110
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer,Add a workout,1,1,1,1,111
Grow a Magnolia Tree - Laying the Seed,Water the seeds accordingly,0,1,1,1,113
Strap a Thumb - Getting Ready to Strap Your Thumb,Cut your tape before applying it,0,0,0,0,117
Change Your Password in Linux Using Terminal,Re-enter password exactly as before,1,1,1,1,118
Clean a Dog's Wound - Seeking Professional Veterinary Help,Ask the vet about systemic antibiotics,1,0,1,1,119
Write a Hypothesis for an Essay - Composing the Hypothesis," Based on your research, predict how the experiment will turn out",0,1,1,1,121
Ride the Disneyland Monorail - Preparing to Board,Go through the bag-and-ticket check for the monorail ride,1,1,1,1,122
Make a Camo Cake - Baking the Cake,Divide the cake batter evenly between 4 bowls,0,0,0,0,126
Arrange Silk Flowers - Creating Your Floral Arrangement,Trim flower stems to the desired length,1,1,1,1,130
Clean Ears with Peroxide - Setting Up,Gather your materials,1,1,1,1,131
Find the Surface Area of a Pyramid - Finding the Surface Area of a Square Pyramid,Measure the sides of the Pyramid,1,0,1,1,135
Tell If Someone Is in Your Closet,Say something funny,0,0,0,0,136
Toast Sunflower Seeds - Stovetop Toasting,Add the sunflower seeds and salt,1,1,1,1,138
Make Fluffy Pancakes - Mixing the Dry Pancake Mix,Combine the dry ingredients,1,1,1,1,139
Learn Hypnosis - Mastering a Hypnotic Routine,Direct the person’s behavior by describing a meaningful scene,1,1,1,1,140
Buy a Remote Starter for a Truck,Search the Internet for reputable remote starter system manufacturers,1,0,0,0,141
Make a Vacuum Chamber - Making a Lid for a Cooking Pot Pressure Cooker,Use pliers to screw in a ⁄4 inch (0,0,0,0,0,142
Paint Bamboo Furniture - Painting the Furniture,Check paint for dryness,1,1,1,1,143
Make Rainbow Frosting - Skittles Rainbow Frosting,Separate the frosting into 5 medium-sized bowls,0,0,0,0,144
Turn On Windows Defender - Turning on Windows Defender,Make sure you recently turned off Windows Defender,0,0,0,0,145
Find the Flashlight on an iPhone - Using Control Center,Tap the flashlight icon again,0,0,0,0,150
Play Chopsticks on a Keyboard or Piano - Playing the Song," Move your fingers to C, one octave apart",1,0,0,0,152
"Cut a Cabbage Into Wedges - Cutting Long, Skinny Cabbage",Cut the head in half lengthwise,0,0,0,0,153
Install Internet Explorer - Using Windows 10,Check to see if you already have Internet Explorer,1,1,0,1,154
Find a Nursing Home for a Senior - Getting Set up in the Nursing Home,Set up times for guests to visit the nursing home,1,1,1,1,156
Make German Chocolate Caramel Brownies,Remove from the oven and leave to cool,1,1,1,1,158
Get a Dog to Stop Drinking from the Toilet - Training Your Dog,Close the toilet lid,1,1,1,1,159
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer,Log in,1,1,1,1,161
Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant,Wait for a response,1,1,1,1,162
Pick out Your Perfect Cell Phone,Get on your networks website or go into a local provider,1,1,0,1,163
Make Tiger Tails - Pretzel tiger tails,Dip a pretzel stick into the melted candy,1,1,1,1,164
Glue Fabric to a Hat Frame,Dry,1,1,1,1,168
Make a Good Pot of Coffee - Brewing the Coffee,Pour coffee grounds into the filter and close the machine,1,1,1,1,170
Make a Care Package for a Long Distance Partner - Assembling the Care Package,Store your items carefully,1,1,1,1,172
Prune Walnut Trees - Deciding on Tools,Climb a ladder or forklift to help you reach branches on tall trees,0,2,0,0,173
Hide Friends on Facebook - On Mobile,Tap Account Settings,1,1,1,1,174
Block a Website with an Internet Filter - Block Website with Internet Filter," You can just easily click the green ""+"" button to add a specified URL",1,1,0,1,175
Hide Friends on Facebook - On Mobile,Open Facebook,1,1,1,1,177
Make Straight Cuts with a Circular Saw - Constructing and Using a Straight Edge,Line up the straight edge base with the marks and clamp it in place,1,0,1,1,178
Turn Off Voicemail on a Samsung - Changing Call-Forwarding Settings,Tap Settings,1,1,1,1,179
Burn Essential Oil - Using a Traditional Oil Burner,Wash your burner in between uses to prevent residue build-up,1,0,1,1,180
Make Shrimp Chef Salad with Lime and Cilantro,Pan-fry the shrimp in the butter and seasonings on a medium-high heat,1,1,1,1,182
Decorate Garden Stones - Organizing Your Project,Choose smooth stones,1,0,1,1,183
"Cut a Mat Using a Utility Knife - Planning, Drawing Guide Lines and Cutting the Board to Size",Cut the piece you will need from the top right or left corner,0,0,0,0,184
Build a Home Studio for Computer Based Music Recording - Building a Home Studio,Seek legal advice,0,0,0,0,185
Apply Black Eyeshadow - Constructing an Edgy Eyeshadow Look,Prime your eyes with your primer of choice,1,0,1,1,186
Pack Pants - Folding Pants,Fold the pants in half so the legs overlap,1,1,0,1,187
Remove Vocals from Songs - Removing the Center Channel,Invert the channel,1,-1,1,1,188
Clean Skylights - Cleaning Skylights from the Outside,Wipe the soapy sponge over the surface of the skylight,1,1,1,1,189
Make Paper Dolls - Completing Your Paper Doll,Laminate or line your drawing with contact paper,1,0,1,1,190
Polish Chrome Wheels - Cleaning Your Wheels,Use a soft wheel brush to clean hard-to-reach areas,1,1,1,1,191
Answer What Interests You About This Job - Showing Why You Like the Company,Pay attention to the culture,1,1,1,1,192
Choose Kayak Paddles - Picking a Paddle Length,Measure the kayak’s width,1,1,1,1,193
Cure Astigmatism - Getting Laser Eye Surgery,Get a referral for a specialist eye clinic from your optometrist,1,1,1,1,194
"Decorate a Fondant Cake - Using Buttercream, Royal Icing, and Other Embellishments",Use a stencil to apply detailed royal icing designs,0,0,0,0,195
Make a Balloon Pet - Balloon stress relief pet,Knot the balloon,1,1,1,1,197
Paint a Model Car - Hand Painting the Car,Allow your model car parts to dry before applying additional coats,0,1,1,1,198
Repair Torn Leather - Filling the Seam in the Tear,Scoop some leather filler up in your palette knife,1,1,1,1,199
Save a wikiHow Article to Read Offline - iOS App,View the saved article later,0,0,0,0,200
Make Caramel Frosting - Making Classic Caramel Frosting," Pour, a little at a time, the powdered sugar; stir as your pour",1,1,1,1,201
Get a Dog to Listen - Using a Dog’s Name to Get Its Attention,Say the dog’s name clearly,1,1,1,1,202
"Create a Go Kart with a Lawnmower Engine - Assembling Motor Mount, Brake Rod, and Accessories",Weld motor mount and attach accessory parts,1,1,1,1,203
Password Protect a PDF - Using PDF2Go,Click Open,1,1,1,1,204
Prune Walnut Trees - Deciding on Tools," Use a chainsaw to remove large, thick branches over 6 in (15 cm) thick",0,0,0,0,205
Cut Parsnips - Cutting Disks on the Bias,Choose a sharp and specific knife for the cut.,1,1,1,1,208
Connect Jambox to Mac - Turning On Bluetooth on your Mac,Click Turn Bluetooth On,1,1,1,1,209
Field Dress a Deer - Removing the Entrails," Cut a hole around the anus, then tie it off from the inside to prevent spilling",1,1,1,1,211
"Create a Go Kart with a Lawnmower Engine - Assembling Motor Mount, Brake Rod, and Accessories",Attach the throttle cable guide tab,0,0,1,0,212
Make an Automatic Chicken Feeder - Cutting Out Your Pieces,Fit the pipe fittings in the holes,1,1,1,1,213
Catalogue Your Books with Goodreads - Adding Shelves to Your Virtual Bookshelf,Add a shelf,0,0,0,0,215
Row on a Rowing Machine - Completing the Movement,Warm up your body properly so you don't have physical problems before starting.,1,1,1,1,216
Grow a Magnolia Tree - Laying the Seed,Plant the seeds,1,1,1,1,217
Transfer Nokia Contacts to a Samsung - Syncing Google Contacts,Sign into your Google account,0,0,0,0,218
Remove Vocals from Songs - Removing the Center Channel,Import the audio into the editing software of your choice,1,1,1,1,219
Alleviate Headaches During Pregnancy - Recognizing More Serious Problems,See a doctor if symptoms persist or get worse,1,1,1,1,222
Set Google Chrome As Your Default Browser - macOS," Click the Apple menu and select ""System Preferences",1,1,1,1,224
Find the Flashlight on an iPhone - Using Control Center,Open Control Center,1,1,1,1,225
Boil Cabbage - Boiling the Cabbage,First Remove any discoloured leaves from the cabbage,1,1,1,1,229
Promote Root Growth - Encouraging Growth in Cuttings,Water the mixture around the cutting to stimulate root growth,1,1,1,1,230
Make Dr. Pepper - Shortcut Dr Pepper,Enjoy your homemade Dr Pepper chilled,1,0,0,0,231
Diagnose a Fistula - Getting a Medical Diagnosis,"Get information on the symptoms of anal fistulas, how they are",1,1,1,1,232
Collect Rainwater for Drinking - Filtering the Rainwater,Disinfect the water with chlorine bleach if you’re unable to boil it,0,1,1,1,233
Bake Eggs - Making Shirred Eggs,Preheat your oven,1,1,1,1,234
Find the Surface Area of a Pyramid - Finding the Surface Area of a Square Pyramid,Set up the formula for surface area of a square pyramid,1,0,1,1,237
Make Curly Fries - Baking the Fries,Bake for 15 minutes and flip,1,0,1,1,238
Apply for a Marriage License in Kentucky - Getting a Marriage License in Kentucky if Both Parties are over 18,Present your identification,0,1,1,1,239
Survive in the Woods - Starting a Fire,Create a fire plough to ignite the kindling and start the fire,1,1,1,1,241
Peel a Pumpkin - Peeling with a Vegetable Peeler,Start cutting the pumpkin as per your desired size,0,1,1,1,243
Clear Your Browser's Cache - Firefox on Desktop,Open Firefox,0,1,1,1,244
Hide Friends on Facebook - On Mobile,Tap Only me,0,0,0,0,245
Make Fluffy Pancakes - Mixing the Dry Pancake Mix,Store leftovers,0,0,0,0,246
Take Care of and Prevent a Rip in Gymnastics - Healing a Minor Gymnastics Rip,Rest the rip for a couple of days,0,1,1,1,248
Make a Garden Flag - Hanging Your Garden Flag,Slip the flag onto the horizontal flagpole,0,0,0,0,249
Issue a Refund - Using Google Payments Merchant Center,Google will immediately process the refund,0,0,0,0,250
Repair a Book's Binding - Reattaching Loose Pages,Apply a thin layer of the glue,1,1,0,1,251
Clean Ears with Peroxide - Setting Up,See your doctor before trying to clean your ears at home,0,0,1,0,252
Make Rock Cakes - Variations,Add cinnamon and nutmeg for a spiced rock cake,1,0,1,1,253
Separate Sand and Salt - Carrying Out the Experiment,Boil the saltwater,0,1,1,1,254
Cook Goose Breasts - Pan-Roasted Goose Breasts,Serve the pan-roasted goose breasts,1,0,0,0,255
Change the Root Password in Linux - With the Current Root Password," Type su at the command prompt, and press ↵ Enter",1,1,1,1,256
Hide Your Profile Picture on Facebook - Using a Computer,Click the Profile Pictures album,1,1,1,1,257
Hang Floating Shelves - Installing Cleats,Use screws to secure the cleat to the wall,1,1,1,1,258
Stretch the Calf Area of Boots - Stretching Boots with Boot Bands,Purchase 2 boot bands,1,1,1,1,259
Make Aleppo Soap - Molding the Soap,Add the soap mixture to the mold(s),1,1,1,1,262
Act on a Movie Date at Your Boyfriend's House - Making A Good First Impression,Dress appropriately for the occasion,0,1,1,1,264
Toast Sunflower Seeds - Stovetop Toasting,Heat the coconut oil,0,1,1,1,265
Gently Curl Your Hair - Using a Headband, Finish off with a texturizing spray and hairspray,0,0,0,0,267
Make a Balloon Pet - Balloon stress relief pet,Add hair,1,0,0,0,269
Make Caramel Frosting - Making Classic Caramel Frosting,Fill a bowl with cold water,1,0,0,0,271
Clean Under Laptop Keyboard Keys - Putty,lastly clean the putty,1,0,0,0,273
Check Traffic - Checking Traffic with Google Maps,Open Google Maps on your device,1,1,1,1,274
Play French Darts,Learn the basics,1,1,1,1,277
Choose Kayak Paddles - Picking a Paddle Length,Test the paddle by holding your arm up to it,1,1,1,1,278
Buy a Harley Davidson - Considering a Used Harley-Davidson,Verify the vehicle's mileage,1,1,1,1,279
Make Banana Walnut Cake Pops - Decorating the Cake Balls,Crack walnuts up,0,0,0,0,281
Gently Curl Your Hair - Using a Headband," Wrap the rope around the headband, towards the back of your head",1,1,1,1,282
Buy a Remote Starter for a Truck,Find retailers that sell the remote starter you are interested in and shop around for the best price,1,1,1,1,283
Make Straight Cuts with a Circular Saw - Constructing and Using a Straight Edge,Cut the board with a circular saw,1,0,1,1,284
Promote Root Growth - Encouraging Growth in Cuttings,"Addition of manure to the soil used to make its more fertile for the plant, also ensure it is positioned where it'll get sunshine.",0,1,1,1,285
Make Fluffy Pancakes - Mixing the Dry Pancake Mix,Use fresh baking soda,1,1,1,1,287
Brake Properly on a Motorcycle - Coming to a Controlled Stop,Squeeze the front brakes at the same time with 2 fingers to ease into the stop,0,0,0,0,288
Delete Bookmarks - Firefox,Open the Library to manage your bookmarks,1,1,1,1,290
Turn On Windows Defender - Turning on Windows Defender,Click Yes when prompted,0,1,1,1,293
Cut Zucchini - Dicing,Slice each strip into 3 thinner strips,0,0,0,0,295
Rotate Pages in a PDF Document Using Adobe Acrobat - Steps,Specify page range,1,1,1,1,296
Write a Hypothesis for an Essay - Composing the Hypothesis,Begin by organizing your research,1,1,1,1,298
Make Vegetarian Yakisoba,Cook noodles according to the instructions on the package,1,1,1,1,299
Measure Helmet Size - Trying on a Helmet,measure the head circumference,1,1,1,1,300
Peel a Pumpkin - Peeling with a Vegetable Peeler,Rotate the pumpkin to continue the peeling process,1,1,1,1,301
Clean a MacBook Pro Keyboard - Cleaning and Disinfecting the Keyboard Surface,Use a damp microfiber cloth and wipe down the keyboard,0,0,0,0,302
Repair Car Paint Chips - Repainting Medium Sized Chips,Wash and wax the vehicle,1,1,1,1,303
Defrost Salmon - Thawing in Cold Water,Fill up the bowl with cold water until the salmon is submerged,0,1,0,0,304
Strap a Thumb - Getting Ready to Strap Your Thumb,Purchase tape or bandages for your thumb,0,0,0,0,305
Open CSV Files - OpenOffice Calc,Select a CSV file and press “Open”,0,0,0,0,306
Hug Your Boyfriend - Hugging Your Boyfriend Properly,Know what makes a great hug,1,1,1,1,307
Blow Dry Curly Hair with a Diffuser - Blowing It Dry,Turn on the diffuser and hold it pointed up,0,1,1,1,308
Survive in the Woods - Starting a Fire," Use a fire to keep warm, cook your food, and purify your water",0,0,0,0,310
Write a Customer Relationship Management Plan - Writing Your CRM Plan,Summarize the information you gathered,1,1,1,1,311
Clean Your Dog's Toothbrush - Disinfecting the Toothbrush,Soak the toothbrush for 30 minutes,1,0,1,1,313
Set Up Guitar Pedals - Using an Effects Loop,Move volume and modulation into the effects loop,1,1,1,1,314
Bake Halibut - Parchment Baked Halibut,Center the fillets on the parchment paper,0,0,0,0,315
Find Surface Area of a Triangular Prism - Finding the Lateral Area,Plug the perimeter into the lateral area formula,1,1,1,1,316
Harvest Purslane - Growing Purslane,Plant purslane in spring or summer,1,0,1,1,317
Use Massage for Neck Pain - Giving Yourself a Massage,Massage trigger points,1,1,1,1,320
Buy Postage Online - Purchasing Postage Labels Online with Stamps.com,Create a Stamps,1,1,1,1,321
Issue a Refund - Using Google Payments Merchant Center,Sign in to your Google Payments Merchant Center account,1,1,1,1,322
Style Waist Length Hair - Getting Creative with Chopsticks and Braids,Braid each quarter,1,0,0,0,325
Service an Air Conditioner - Clean the Air Conditioner,Make sure the unit is turned off either at the on/off switch and unplugging it or by shutting off the circuit breaker,1,1,1,1,326
Submit a Link to a Web Directory,Select the category that fits the website topic,1,1,1,1,331
Apply for a Utility Patent - Evaluating Your Invention's Patentability,Decide whether you need international protection,1,1,1,1,332
Make Soursop Juice - Mashing the Soursop,Wash your hands,0,0,0,0,334
Use Bing Maps - Viewing Maps,Identify a location,1,0,0,0,335
Paint Patio Furniture - Refinishing Rusty Metal Furniture,Clean your chair with soap and water,1,1,1,1,337
Talk About Daily Stress with Your Partner - Having Daily Conversations,Listen,1,1,1,1,340
Cook Brazilian Rice - Method One: Traditional Brazilian Rice,Heat the oil in a large saucepan,1,0,0,0,341
Cook Hot Dogs - Frying Hot Dogs,Cut up some hot dogs,1,0,0,0,343
Find Perfect Ice Skates,Go to the ice skate area and look at all of the skates,1,-1,1,1,344
Contact the iTunes Store - Using Apple Support Resources,Access the iTunes support page on Apple's website,1,1,0,1,347
Clean a Dog's Wound - Seeking Professional Veterinary Help,Have the vet drain or debride the wound if necessary,0,0,0,0,350
Draw Cute Animals - A Cute Tiger,Draw a rectangle on the right bottom side of the square,0,0,0,0,352
Diagnose a Fistula - Getting a Medical Diagnosis," Provide blood samples, if needed",0,0,0,0,357
Catalogue Your Books with Goodreads - Adding Shelves to Your Virtual Bookshelf,Sign in,1,1,1,1,358
Make Rock Cakes - Variations,Substitute chocolate for dried fruit for sweeter cakes,1,0,0,0,359
Go to Sleep Fast for Kids - Starting a Bedtime Routine,Take care of other personal needs,1,1,1,1,360
Find the Flashlight on an iPhone - Using Control Center,Tap the flashlight icon,1,1,1,1,361
Use an Analog Watch as a Compass - In the Northern Hemisphere,Hold the watch horizontally,1,1,1,1,362
Apply Black Eyeshadow - Constructing an Edgy Eyeshadow Look,Smooth the upper edge of the black eyeshadow toward your eyebrow,1,1,1,1,363
Buy a Harley Davidson - Considering a Used Harley-Davidson,Negotiate the price until you are satisfied,0,0,0,0,365
Make a Temporary Tattoo Last Longer - Preparing Your Skin,Shave the area before the temporary tattoo is applied,1,1,1,1,367
Paint With Gouache - Finishing Your Painting,Refine your piece,1,1,1,1,368
Make Shrimp Chef Salad with Lime and Cilantro," Add the shrimp to the salad, place a slice of lime onto the salad bowl's edge, and serve immediately! Finished",0,0,0,0,369
Contact Max Factor - Contacting via Twitter,Go to Max Factor’s official Twitter profile,1,1,1,1,370
Play With Your Hermit Crab - Handling Your Hermit Crab,Place the hermit crab on the ground gently,1,1,1,1,371
Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage,Relocate your hamster,0,0,0,0,373
Text a Heart Using Symbols,Go to the symbol keypad to add symbols,1,1,1,1,374
Blow Dry Curly Hair with a Diffuser - Blowing It Dry,Lay a handful of curls in the bowl of the diffuser,0,0,0,0,375
Simulate a Fair Coin Toss With a Biased Coin - Steps," If you got heads before tails, count it as heads",0,0,0,0,376
Cut Wood Slices - Cutting Large Slices with a Chainsaw,Measure and mark the tree where you want to make the cut,1,1,1,1,377
Teach a Child to Use the Telephone,"Let your child hold the phone without pushing any buttons, while you point to the buttons and explain which button does what, and tell him/her which buttons s/he should NEVER touch",1,1,1,1,378
Talk About Daily Stress with Your Partner - Having Daily Conversations,Open up about how you feel,1,1,1,1,380
Cook Diced Beef - Sautéing Diced Beef,Slice the meat into diced cubes,1,1,1,1,381
Use Antiseizure Medications for Anxiety - Using Medication Responsibly,Manage doses properly,1,1,1,1,382
Repair Car Paint Chips - Repainting Medium Sized Chips,Remove any debris,1,1,1,1,383
Clean a Granite Sink - Removing Hard Water Stains,Wipe excess oil away,1,1,1,1,384
Replace Scooter Wheels - Removing the Old Wheels,Pull out the axle and screw from the wheel,1,1,1,1,385
Draw Cute Animals - A Cute Tiger,Color your drawing,0,0,0,0,388
Buy a Harley Davidson - Considering a Used Harley-Davidson,Get a vehicle history report using the bike's VIN,0,0,0,0,389
Make Aspirin if You're Lost in the Woods - Gathering Ingredients,Learn which types of willow trees contain the most salicylic acid,1,1,1,1,391
Talk About Daily Stress with Your Partner - Having Daily Conversations,Find an appropriate limit,1,1,1,1,392
Contact the iTunes Store - Using Apple Support Resources,Search or select a topic,1,0,1,1,393
File a Complaint Against an Arizona Real Estate Agent - Complaining to the Arizona Department of Real Estate,Determine that you have a complaint within ADRE jurisdiction,1,1,1,1,394
Measure Helmet Size - Trying on a Helmet,Try the helmet on,1,0,1,1,397
Change Your Password in Linux Using Terminal,click on login button,1,1,0,1,399
Delete a YouTube Account - Deleting Accounts," Click the ""Data tools"" tab",0,0,0,0,400
Teach Yourself to Get Up As Soon As Your Alarm Clock Goes Off - Waking Up,Sit up immediately,1,1,1,1,401
Create a Kahoot Game,Click Create,0,1,1,1,402
Cook Diced Beef - Sautéing Diced Beef,Heat oil on the skillet and cook your beef in batches,0,0,0,0,403
Use Excel - Creating Charts,Select the data,0,0,0,0,404
Clean Brass Handles - Cleaning Brass Plate,Determine if you have brass-plated metal,1,1,1,1,405
Download Kindle Books on an iPad - Adding Non-Kindle Content to Your Kindle App,Know what can be transferred,1,1,1,1,406
Clean Rust Off Cast Iron - Using Vinegar,Place the cast iron in the oven,1,1,0,1,407
Sew on a Wig - Preparing Your Hair and the Wig,Choose a lace wig,0,1,0,0,408
Keep a Pet Rat Clean - Massaging a Hairless Rat,Fill the sink with an inch of warm water,1,1,1,1,409
Use Antiseizure Medications for Anxiety - Using Medication Responsibly,Watch for side-effects,1,1,1,1,410
Arrange Silk Flowers - Creating Your Floral Arrangement,Cover the foam or clay with moss or grass,1,0,0,0,412
