process,step,annotation,iaa,true_label,id
Use Instacart on an iPhone or iPad, Use the buttons below the product page to add items to your Cart,"[2, 2, 1, 0, 0]",0.4,1,41
Write Headings for an Article - Writing Headings for APA Articles,Include a running head/page header,"[2, 2, 1, 1, 2]",1.0,1,42
Clean a Dog's Wound - Seeking Professional Veterinary Help,Don’t wait to see a vet for eye injuries,"[2, 2, 1, 0, 1]",0.6,1,43
Peel and Devein Shrimp - Deveining Shrimp, Pull the vein out gently with your fingers,"[2, 1, 1, 2, 1]",1.0,1,44
Make Rainbow Frosting - Skittles Rainbow Frosting, Pour one color of the melted Skittles into each bowl and stir well,"[2, 1, 1, 1, 0]",0.6,1,45
Open CSV Files - OpenOffice Calc, Click on the “Data” menu and select “Text to Columns” (optional),"[1, 0, -1, 2, 0]",0.4,0,46
Use Massage for Neck Pain - Giving Yourself a Massage, Focus on the neck and shoulders,"[1, 0, 2, 2, 2]",0.6,1,47
Test the Heating Element in a Dryer - Examining an Electric Dryer, Attach the black and red multimeter probes to the leads on the heating coils,"[1, 2, 0, 1, 1]",0.6,1,48
Paint Patio Furniture - Refinishing Rusty Metal Furniture, Give your finished furniture 24 hours to dry,"[1, 1, 0, 0, 2]",0.4,1,49
Make a Temporary Tattoo Last Longer - Preparing Your Skin, Choose an area where the skin won't constantly be moving or flexing or coming into contact with oils and other substances,"[1, 0, 2, 1, 1]",0.6,1,50
Measure an Angle Using a Protractor - Calculating Reflex Angles, Place your protractor on the straight line to measure the acute angle,"[-1, 2, 1, 1, 1]",0.6,1,51
Play With Your Hermit Crab - Handling Your Hermit Crab, Don’t remove your hermit crab from its shell or pull on its limbs,"[1, 2, 2, 1, 1]",1.0,1,52
Check Your SAT Score - Evaluating Other Relevant Information,Answer the questions,"[2.0, 1.0, 0.0, 1.0, 1.0]",0.6,1,53
Kill Ants in Your House - Eliminating a House Ant Colony,Lay out an “ant buffet” to see which bait food the ants prefer,"[2, 2, 1, 2, 1]",1.0,1,54
Act on a Movie Date at Your Boyfriend's House - Making A Good First Impression, Bring some snacks or a small gift,"[1, 2, 0, 1, -1]",0.4,1,55
Cook Goose Breasts - Pan-Roasted Goose Breasts,Salt the goose breasts and bring them to room temperature,"[2, 2, 1, 2, 2]",1.0,1,56
Pressure Wash Vinyl Siding - Spraying on the Cleaning Solution, Begin with a small section of the siding,"[0, 2, 1, 1, 0]",0.4,1,57
"Cut a Cabbage Into Wedges - Cutting Long, Skinny Cabbage", Rinse the cabbage,"[1, 1, 0, 1, 1]",0.6,1,58
Update Your Vehicle Registration - Changing Your Name,Gather documentation and proof of identity,"[0, 1, -1, 0, 2]",0.4,0,59
Stop Hormone Replacement Therapy (HRT) - Stopping Hormones, Take lower doses of hormones,"[2, 1, 2, 1, 1]",1.0,1,60
Make a Paper Hat - Making a Sailor or Alpine Hat, Flip the paper over and fold the second flap up too,"[0, 1, 1, 0, 1]",0.4,1,61
Survive in the Woods - Starting a Fire, Collect larger logs for fuel,"[2, 1, 1, 1, 2]",1.0,1,62
Get a Japanese Passport - Getting Your Passport, Fill out the application form at your local Ward Office,"[1, 2, 1, 1, 2]",1.0,1,63
Toast Sunflower Seeds - Microwave Toasting,Spread the sunflowers seeds out in a microwave-safe dish,"[2, 1, 1, 2, 2]",1.0,1,64
Report International Fraud - Reporting International Scams to EConsumer, Choose your complaint subject,"[2, 1, 2, -1, 2]",0.6,1,65
File a Case in Consumer Court - Resolving Your Case, File an appeal within 30 days of receipt of an order,"[2, 2, 0, 0, 2]",0.4,1,66
Preserve Lemons - Prepping the Lemons, Slice off the stems,"[1, 1, 1, 2, 0]",0.6,1,67
Do the 'Pass It On' Trick in Class - Flash mobs, Understand the risk,"[-1, 1, 1, 1, 0]",0.4,1,68
Stain Wood Filler - Applying the Stain,Second coat of paint helps to remove the stain.,"[2.0, 1.0, 1.0, -1.0, 1.0]",0.6,1,69
Make Sweet Curry Powder,Get ingredients,"[2.0, -1.0, 1.0, 1.0, 1.0]",0.6,1,70
Make a Tight Turn Quickly in a Car - Using Your Handbrake, Turn back into the direction of the turn,"[1, -2, 1, 2, 1]",0.6,1,71
Draw Cute Animals - A Cute Tiger, Draw the ears using small triangles,"[0, 0, 2, 1, 1]",0.4,1,72
Build a Home Studio for Computer Based Music Recording - Building a Home Studio," If you have trouble with any of the above, pick up a Mixing / Studio Book","[1, 2, 1, 2, -2]",0.6,1,73
Pack Pants - Folding Pants, Fold them in half once more,"[1, 1, 1, 1, 1]",1.0,1,74
Write Headings for an Article - Writing Headings for APA Articles, Compose a level one heading,"[1, 1, 1, 1, 2]",1.0,1,75
Play iPad Videos on TV - Using an Adapter, Watch your videos,"[0, 1, 2, 2, 1]",0.6,1,76
Identify Songs Using Melody - Using Technology,Find the right app or program for you,"[1, 1, 0, 1, 1]",0.6,1,77
Paint With Gouache - Finishing Your Painting, Add dimension to your design using shading,"[1, 2, 1, 2, 1]",1.0,1,78
Test Liver Function - Getting the Blood Test, Discuss any medications you are taking with your doctor,"[2, 1, 1, 2, 1]",1.0,1,79
Cook Brazilian Rice - Method One: Traditional Brazilian Rice, Pour in the hot water,"[1, 2, 2, 0, 1]",0.6,1,80
Password Protect a PDF - Using PDF2Go," Scroll down to the ""Settings"" section","[0, 2, 2, 0, 2]",0.4,1,81
Make Bottle Penguins - Adding Optional Details,"Give your penguin character with lashes, eyebrows, and/or blush","[1, 2, 2, 2, 1]",1.0,1,82
Palpate Axillary Lymph Nodes - Performing the Exam, Press deeply in a circular motion,"[1, 1, 1, 0, 0]",0.4,1,83
Submit a Link to a Web Directory, Finally save the URL of the page where the link will be submitted for future reference,"[1, 1, 0, 2, 2]",0.6,1,84
Grow Taro - Growing Shoots on Tubers, Wait a few weeks for the shoots to develop,"[1, 2, 1, 2, 2]",1.0,1,85
Add a Color Palette in Photoshop from a Photograph - Using the Palette, Find and select the palette that you just created,"[1, -1, 2, 1, 1]",0.6,1,86
Install Internet Explorer - Using Windows 10, Press Ctrl+J in your web browser,"[0, 2, 1, 1, 2]",0.6,1,87
Brown a Roast for Cooking in a Crockpot, Heat 2 tablespoons (30 mm) of cooking oil in a large Dutch oven on medium high heat,"[2, 1, 1, -1, 1]",0.6,1,88
Make a Pumpkin Cake - Vegan Pumpkin Cake, Combine the wet ingredients with the dry,"[2, 1, -1, 2, 0]",0.4,1,89
Peel and Devein Shrimp - Deveining Shrimp, Rinse your fingers and the shrimp,"[0, 1, 1, 1, 1]",0.6,1,90
Open CSV Files - OpenOffice Calc, Select the “Separate By” radio button,"[2, 0, -1, 1, 0]",0.4,0,91
Peel a Pumpkin - Peeling with a Vegetable Peeler," Peel the skin using the peeler, starting from the side closest to you","[1, 1, 1, 1, 0]",0.6,1,92
Transfer Nokia Contacts to a Samsung - Syncing Google Contacts, Tap Google,"[1, 0, 1, 2, 0]",0.4,1,93
Play French Darts,Get in playing position.,"[2.0, 2.0, 2.0, 0.0, 1.0]",0.6,1,94
Repair a Book's Binding - Reattaching Loose Pages, Hold the book closed with a rubber band,"[2, 2, 0, 2, 2]",0.6,1,95
Seed a Pomegranate By Hand - Removing Seeds in Water,Gently pry the seeds from the pomegranate skin,"[1.0, 1.0, 1.0, -1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0]",0.4,1,96
Learn Cooking by Yourself - Mastering the Basics,Review safe cooking guidelines,"[0, 1, 2, 2, 2]",0.6,1,97
Make Pomegranate Seltzer - Preparing a Cranberry Pomegranate Seltzer, Keep extra seltzer drink in the refrigerator,"[1, 2, 1, 2, -1]",0.6,1,98
Apply for a Marriage License in Kentucky - Getting a Marriage License in Kentucky if Both Parties are over 18, Pay the fee for the marriage license,"[1, 2, -1, 0, 2]",0.4,1,99
Change the Root Password in Linux - With the Current Root Password, Type a new password and press ↵ Enter,"[2, 1, 1, 2, 1]",1.0,1,100
Undo a Bra One Handed - Familiarizing Yourself with a Bra, Check out the mechanism that keeps a bra fastened,"[1, 1, 1, 2, 2]",1.0,1,101
Get Married in Oregon - Planning a Wedding Ceremony,Decide on the type of ceremony,"[1, 1, 2, 2, 1]",1.0,1,102
Write a Customer Relationship Management Plan - Writing Your CRM Plan, Specify how the business meets or will meet customer needs,"[0, 1, 2, 1, -2]",0.4,1,103
Cook Brazilian Rice - Method One: Traditional Brazilian Rice, Stir in the rice and salt,"[1, 2, 2, 1, 1]",1.0,1,104
Play iPad Videos on TV - Using an Adapter, Change your TV's input to the iPad's cable,"[0, 1, 1, 2, 1]",0.6,1,105
Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS, Get a prepaid AT&T GoPhone,"[1, 1, 0, 2, 0]",0.4,1,106
Make a Vanilla Cake - Basic Vanilla Cake, Pour the vanilla extract and milk,"[1, 1, 1, 1, 0]",0.6,1,107
Survive in the Woods - Starting a Fire,"Find small, dry material to use as tinder","[2, 1, 1, 1, 2]",1.0,1,108
Brown a Roast for Cooking in a Crockpot,Rinse the roast with cold water,"[2, 1, 2, 1, 2]",1.0,1,109
Test the Heating Element in a Dryer - Examining an Electric Dryer, Put the dryer back together and plug it in,"[1, 2, 0, 1, 0]",0.4,1,110
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer, Add a workout,"[2, 2, 1, 1, 2]",1.0,1,111
Make an Outdoor Canopy - Making a Canopy with 4 Poles and a Tarp, Attach a tent pole to each corner of the tarp with nylon rope,"[1, 1, 2, 1, 0]",0.6,1,112
Grow a Magnolia Tree - Laying the Seed,Water the seeds accordingly,"[-2.0, -1.0, -2.0, -1.0, 2.0]",0.6,0,113
Update Your Vehicle Registration - Changing Your Name, Receive your updated registration,"[0, 1, -1, 0, 2]",0.4,0,114
Dry a Dog - Drying Your Dog With a Chamois,Use a chamois leather,"[1, 2, 1, 1, 1]",1.0,1,115
Take Legal Action for Player to Player Violence - Negotiating a Settlement with the Player, Mail the demand letter to the other player,"[2, 1, 1, 0, 2]",0.6,1,116
Strap a Thumb - Getting Ready to Strap Your Thumb, Cut your tape before applying it,"[1, 0, 2, 2, 1]",0.6,1,117
Change Your Password in Linux Using Terminal,Re-enter password exactly as before,"[1.0, 0.0, 1.0, 1.0, 0.0]",0.4,1,118
Clean a Dog's Wound - Seeking Professional Veterinary Help, Ask the vet about systemic antibiotics,"[0, 2, 1, 0, 0]",0.4,0,119
Use Google Keyword Planner - Multiplying Keyword Lists to Get New Keyword Ideas, Choose your targets,"[1, 2, 2, 1, 1]",1.0,1,120
Write a Hypothesis for an Essay - Composing the Hypothesis," Based on your research, predict how the experiment will turn out","[2, 0, 1, 1, 0]",0.4,1,121
Ride the Disneyland Monorail - Preparing to Board, Go through the bag-and-ticket check for the monorail ride,"[0, 1, 2, -1, 1]",0.4,1,122
Get Your Site Indexed in Live Search,example,"[1, 1, 2, 2, -2]",0.6,1,123
Clean Under Laptop Keyboard Keys - Putty, The putty will form its shape over the keys and seep through the cracks,"[0, -1, 2, 1, 1]",0.4,1,124
Fix a Bicep Tear - Resuming Physical Activity, Do 10 internal and external rotations,"[0, 1, 2, 0, 1]",0.4,1,125
Make a Camo Cake - Baking the Cake, Divide the cake batter evenly between 4 bowls,"[-1, 1, 2, 1, 0]",0.4,1,126
Improve Sperm Morphology - Using Nutrition, Eat 2 to 3 servings per day of foods that are rich in Vitamin C,"[2, 1, 1, 1, 1]",1.0,1,127
Make Mod Podge - Making Glue-Based Mod Podge, Add gloss or varnish to make it shiny,"[1, 2, 1, 0, 1]",0.6,1,128
Cook Maja Blanca - Setting the Pudding, Allow the pudding to cool for 10 minutes before covering it with foil,"[1, 1, 1, 1, -1]",0.6,1,129
Arrange Silk Flowers - Creating Your Floral Arrangement, Trim flower stems to the desired length,"[0, 1, 1, 1, 0]",0.4,1,130
Clean Ears with Peroxide - Setting Up, Gather your materials,"[0, 1, 1, 1, 0]",0.4,1,131
Use Kaffir Lime Leaves - Using Dried or Powdered Leaves, Sprinkle a pinch of kaffir leaf powder into a dish to add a subtle flavor,"[2, 1, 1, 1, 0]",0.6,1,132
Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,Spoken articles make Wikipedia content available to those who can ... generate MP3 audio files and podcasts of Wikipedia articles in different languages.,"[2.0, 1.0, 1.0, 1.0, 1.0]",1.0,1,133
"Cut a Mat Using a Utility Knife - Planning, Drawing Guide Lines and Cutting the Board to Size", Chose any brand or grade of utility knife,"[1, 1, 2, 2, 0]",0.6,1,134
Find the Surface Area of a Pyramid - Finding the Surface Area of a Square Pyramid,Measure the sides of the Pyramid,"[-1.0, 2.0, 2.0, 2.0, 1.0]",0.6,1,135
Tell If Someone Is in Your Closet,Say something funny,"[-1, 2, -2, 2, 1]",0.4,1,136
Make a Vegan Avocado Chocolate Cake, Pour the wet ingredients into the dry ingredients bowl,"[1, 1, 2, 2, 0]",0.6,1,137
Toast Sunflower Seeds - Stovetop Toasting, Add the sunflower seeds and salt,"[2, 1, 1, 2, 2]",1.0,1,138
Make Fluffy Pancakes - Mixing the Dry Pancake Mix, Combine the dry ingredients,"[1, 1, 1, 0, 2]",0.6,1,139
Learn Hypnosis - Mastering a Hypnotic Routine, Direct the person’s behavior by describing a meaningful scene,"[0, 1, 1, 2, 1]",0.6,1,140
Buy a Remote Starter for a Truck, Search the Internet for reputable remote starter system manufacturers,"[1, 0, 1, 1, 2]",0.6,1,141
Make a Vacuum Chamber - Making a Lid for a Cooking Pot Pressure Cooker, Use pliers to screw in a ⁄4 inch (0,"[0, 1, -2, 1, 2]",0.4,1,142
Paint Bamboo Furniture - Painting the Furniture,Check paint for dryness,"[2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 0.0]",1.0,1,143
Make Rainbow Frosting - Skittles Rainbow Frosting, Separate the frosting into 5 medium-sized bowls,"[2, 1, 2, 1, 0]",0.6,1,144
Turn On Windows Defender - Turning on Windows Defender,Make sure you recently turned off Windows Defender,"[2, 1, 1, 1, 0]",0.6,1,145
Support the ACLU - Taking Action Online," Click on the ""Take Action"" tab","[1, 0, 1, 2, 0]",0.4,1,146
Make Caramel Frosting - Making Classic Caramel Frosting, Finished,"[2, -1, 1, 1, 2]",0.6,1,147
Make Rock Cakes - Variations, Add shredded coconut for Jamaican rock cakes,"[1, 1, 1, 2, 0]",0.6,1,148
Have Jehovah's Witnesses Go Away - Interacting with a Jehovah's Witness, Be honest,"[2, 1, 2, 1, 1]",1.0,1,149
Find the Flashlight on an iPhone - Using Control Center, Tap the flashlight icon again,"[2, 1, -1, -1, -1]",0.4,0,150
Build a Go Kart - Mounting the Engine and Steering Column, Assemble your steering linkage,"[-1, 1, 1, 1, 2]",0.6,1,151
Play Chopsticks on a Keyboard or Piano - Playing the Song," Move your fingers to C, one octave apart","[1, 1, 1, 1, 1]",1.0,1,152
"Cut a Cabbage Into Wedges - Cutting Long, Skinny Cabbage", Cut the head in half lengthwise,"[1, 1, 0, 1, -1]",0.4,1,153
Install Internet Explorer - Using Windows 10,Check to see if you already have Internet Explorer,"[1, -2, 1, 2, 2]",0.6,1,154
Make a Vanilla Cake - Basic Vanilla Cake, Frost the cake,"[1, 2, 2, -1, 0]",0.4,1,155
Find a Nursing Home for a Senior - Getting Set up in the Nursing Home, Set up times for guests to visit the nursing home,"[2, 1, 1, 2, 1]",1.0,1,156
Build a Home Studio for Computer Based Music Recording - Building a Home Studio, Buy or download music-editing software for your PC,"[0, 1, 1, 2, 1]",0.6,1,157
Make German Chocolate Caramel Brownies, Remove from the oven and leave to cool,"[1, 1, 2, 2, 1]",1.0,1,158
Get a Dog to Stop Drinking from the Toilet - Training Your Dog, Close the toilet lid,"[2, 1, 2, 1, 1]",1.0,1,159
Measure Helmet Size - Trying on a Helmet,"The best place to measure for helmet sizing is two finger widths just above the eyebrows, directly above the ears and around the widest area at the back of your head. When measuring, the measuring tape should be nearly skin tight without applying constricting pressure.","[2.0, 2.0, -1.0, 1.0, 1.0]",0.6,1,160
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer, Log in,"[2, 2, 1, 2, 2]",1.0,1,161
Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant, Wait for a response,"[1, 1, 1, 2, 2]",1.0,1,162
Pick out Your Perfect Cell Phone,Get on your networks website or go into a local provider,"[1, 2, 2, 0, 1]",0.6,1,163
Make Tiger Tails - Pretzel tiger tails, Dip a pretzel stick into the melted candy,"[1, 1, 1, 1, 2]",1.0,1,164
Use an Analog Watch as a Compass - In the Northern Hemisphere,Tap the glass to make sure needle not stuck.,"[-1.0, 1.0, 1.0, 1.0, 1.0]",0.6,1,165
Make Straight Cuts with a Circular Saw - Constructing and Using a Straight Edge, Align the boards and fasten them together with glue and nails,"[1, 1, 1, 1, 2]",1.0,1,166
Style Waist Length Hair - Getting Creative with Chopsticks and Braids, Hold your bun in place with chopsticks,"[1, 1, 0, 0, 2]",0.4,1,167
Glue Fabric to a Hat Frame, Dry,"[1, 1, 2, 1, 2]",1.0,1,168
Draw Skylanders - Hex," Using these line guides, draw Hex's large almond-like eyes","[0, 0, 1, 0, 2]",0.4,0,169
Make a Good Pot of Coffee - Brewing the Coffee, Pour coffee grounds into the filter and close the machine,"[1, 1, 1, 1, 2]",1.0,1,170
Create Course Content for a MILPA Course - Preview and save the changes made to media lecture, Add keywords (optional),"[2, 1, 2, 2, 0]",0.6,1,171
Make a Care Package for a Long Distance Partner - Assembling the Care Package, Store your items carefully,"[1, 2, 2, 1, 2]",1.0,1,172
Prune Walnut Trees - Deciding on Tools, Climb a ladder or forklift to help you reach branches on tall trees,"[1, 0, -2, 0, 1]",0.4,0,173
Hide Friends on Facebook - On Mobile, Tap Account Settings,"[1, 2, 1, 2, 0]",0.6,1,174
Block a Website with an Internet Filter - Block Website with Internet Filter," Or you can just easily click the green ""+"" button to add a specified URL","[2, 2, 2, 1, 1]",1.0,1,175
Cut Tile Backsplash - Cutting Installed Tiles,Cover your counter and put on a mask and safety goggles,"[0, 2, 0, 1, 1]",0.4,1,176
Hide Friends on Facebook - On Mobile,Open Facebook,"[1, 2, 1, 1, 2]",1.0,1,177
Make Straight Cuts with a Circular Saw - Constructing and Using a Straight Edge, Line up the straight edge base with the marks and clamp it in place,"[2, 1, 1, 1, 2]",1.0,1,178
Turn Off Voicemail on a Samsung - Changing Call-Forwarding Settings, Tap Settings,"[1, 0, 1, 1, 0]",0.4,1,179
Burn Essential Oil - Using a Traditional Oil Burner, Wash your burner in between uses to prevent residue build-up,"[0, 1, 1, 1, 2]",0.6,1,180
Throat Sing - Throat Singing,Relax your jaw and lips,"[-2, 0, 1, 1, 0]",0.4,0,181
Make Shrimp Chef Salad with Lime and Cilantro, Pan-fry the shrimp in the butter and seasonings on a medium-high heat,"[1, 2, 1, 0, 2]",0.6,1,182
Decorate Garden Stones - Organizing Your Project,Choose smooth stones,"[1, 2, 2, 0, 1]",0.6,1,183
"Cut a Mat Using a Utility Knife - Planning, Drawing Guide Lines and Cutting the Board to Size", Cut the piece you will need from the top right or left corner,"[1, 0, 2, 2, 0]",0.4,1,184
Build a Home Studio for Computer Based Music Recording - Building a Home Studio,Seek legal advice,"[0.0, 2.0, 1.0, 2.0, 1.0]",0.6,1,185
Apply Black Eyeshadow - Constructing an Edgy Eyeshadow Look,Prime your eyes with your primer of choice,"[1, 1, 1, 2, 1]",1.0,1,186
Pack Pants - Folding Pants, Fold the pants in half so the legs overlap,"[-1, 1, 2, 1, 2]",0.6,1,187
Remove Vocals from Songs - Removing the Center Channel, Invert the channel,"[1, 1, 2, 1, 2]",1.0,1,188
Clean Skylights - Cleaning Skylights from the Outside, Wipe the soapy sponge over the surface of the skylight,"[1, 1, -1, 1, 2]",0.6,1,189
Make Paper Dolls - Completing Your Paper Doll, Laminate or line your drawing with contact paper,"[1, 2, 1, 1, 2]",1.0,1,190
Polish Chrome Wheels - Cleaning Your Wheels, Use a soft wheel brush to clean hard-to-reach areas,"[1, 1, 2, 2, 0]",0.6,1,191
Answer What Interests You About This Job - Showing Why You Like the Company, Pay attention to the culture,"[1, 1, 1, 1, 1]",1.0,1,192
Choose Kayak Paddles - Picking a Paddle Length,Measure the kayak’s width,"[1, 2, 2, 1, 2]",1.0,1,193
Cure Astigmatism - Getting Laser Eye Surgery,Get a referral for a specialist eye clinic from your optometrist,"[1, 2, 2, 1, 1]",1.0,1,194
"Decorate a Fondant Cake - Using Buttercream, Royal Icing, and Other Embellishments", Use a stencil to apply detailed royal icing designs,"[2, 2, 0, 2, 0]",0.4,1,195
Sew on a Wig - Preparing Your Hair and the Wig, Braid your hair,"[0, 0, -1, 1, 1]",0.4,0,196
Make a Balloon Pet - Balloon stress relief pet, Knot the balloon,"[2, 2, 1, -1, 1]",0.6,1,197
Paint a Model Car - Hand Painting the Car, Allow your model car parts to dry before applying additional coats,"[2, 0, 0, 1, 1]",0.4,1,198
Repair Torn Leather - Filling the Seam in the Tear,Scoop some leather filler up in your palette knife,"[2, 1, 1, 2, 2]",1.0,1,199
Save a wikiHow Article to Read Offline - iOS App, View the saved article later,"[2, 0, 2, -1, 1]",0.4,1,200
Make Caramel Frosting - Making Classic Caramel Frosting," Pour, a little at a time, the powdered sugar; stir as your pour","[2, 1, 1, 2, 1]",1.0,1,201
Get a Dog to Listen - Using a Dog’s Name to Get Its Attention,Say the dog’s name clearly,"[1, -1, 1, 1, 1]",0.6,1,202
"Create a Go Kart with a Lawnmower Engine - Assembling Motor Mount, Brake Rod, and Accessories", Weld motor mount and attach accessory parts,"[1, 2, 1, 1, 2]",1.0,1,203
Password Protect a PDF - Using PDF2Go, Click Open,"[0, 2, 2, 1, 1]",0.6,1,204
Prune Walnut Trees - Deciding on Tools," Use a chainsaw to remove large, thick branches over 6 in (15 cm) thick","[2, 0, -1, 0, 2]",0.4,0,205
Quickly Make an Alcoholic Party Punch - Classic Sangria, Chill in a carafe or large pitcher and serve,"[1, 0, -1, 1, 1]",0.4,1,206
Make Tumblr Edits - Editing Posts Using URLs," Make the necessary changes to your post, then click “Save","[0, 2, 2, -1, 1]",0.4,1,207
Cut Parsnips - Cutting Disks on the Bias,Choose a sharp and specific knife for the cut.,"[2.0, 2.0, 2.0, 1.0, 2.0]",1.0,1,208
Connect Jambox to Mac - Turning On Bluetooth on your Mac, Click Turn Bluetooth On,"[1, 2, 2, 2, 0]",0.6,1,209
Make a Vanilla Cake - Basic Vanilla Cake,Prepare to make the cake,"[0, 2, 1, 1, 1]",0.6,1,210
