,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
11,11,11,xxx,xxx,How to Naturally Treat ADHD - Improving Focus with Organization,xxx,Use a daily planner to keep track of your activities and deadlines. Break up large projects into smaller ones. Get rid of clutter because it’s a distraction. Have designated places for important items.,xxx,xxx,xxx,0
12,12,12,xxx,xxx,How to Be an English Gentleman - Being Chivalrous,xxx,"Show politeness to show your refinement. Give up your seat if someone is standing. Hold doors open for people. Take care of people. Mean what you say, and say what you mean.",xxx,xxx,xxx,0
13,13,13,xxx,xxx,How to Get a Dog to Stop Drinking from the Toilet - Training Your Dog,xxx,Catch your dog in the act. Call it from the area. Close the toilet lid. Give your dog a fresh bowl of water.,xxx,xxx,xxx,1
14,14,14,xxx,xxx,How to Cope With a Bad Dog - Retraining Your Dog,xxx,"Avoid rewarding bad behavior. Use clear, simple words like “no,” “bad dog,” and “good dog.” You need to communicate to your dog that it’s engaged in bad behavior and then redirect it to a good behavior and reward it for that behavior. Desensitize your dog to stressful stimuli. Stick to a regular training schedule.",xxx,xxx,xxx,0
15,15,15,xxx,xxx,How to Teach Mathematics - Working with Students as Individuals,xxx,Find ways to challenge upper level students. Provide extra support for slower students. Take a personal interest in all students. Contact parents regularly.,xxx,xxx,xxx,0
16,16,16,xxx,xxx,How to Identify Songs Using Melody - Using Technology,xxx,Find the right app or program for you. Use a music-recognition app. Record yourself humming the melody. Include any additional details you can think of. Post up your query. Wait for an answer.,xxx,xxx,xxx,1
17,17,17,xxx,xxx,"How to Care for a Fiddle Leaf Fig - Watering, Fertilizing, and Pruning",xxx,Water your fiddle leaf fig generously 1-2 times per week. Mist the leaves daily unless the weather is humid. Cut off any leaves that look brown or discolored. Dust the leaves with a damp cloth once every 2 weeks. Check the leaves and stems for pests once per week. Fertilize the plant once in the spring and once per month in the summer.,xxx,xxx,xxx,0
18,18,18,xxx,xxx,How to Lose Body Fat - Jump-Starting Fat Loss with a New Diet,xxx,Consume a well-rounded balance of protein and fat. Drink a lot of water. Eat breakfast every day. Fill your day with fiber. Don't eat foods with empty calories.,xxx,xxx,xxx,0
19,19,19,xxx,xxx,How to Deal with Misophonia - Finding Your Triggers,xxx,Know common misophonia triggers. Notice what sounds cause you to experience stress. Write down what’s happening when you start to feel anxious or upset.,xxx,xxx,xxx,1
20,20,20,xxx,xxx,How to Buy and Sell Gold Coins for Profit - Selling Gold Coins,xxx,Keep track of gold value. Keep track of the value of your country's currency. Aim to sell your coins at the peak of demand. Take your gold coin to a jeweler or pawn shop. Do not sell to “rogue” buyers.,xxx,xxx,xxx,0
21,21,21,xxx,xxx,How to Choose a Smartphone - Choosing a Smartphone Model,xxx,Pick a carrier. Pick a phone service and data plan that works for you. Pick a screen size. Decide how new you want your phone model to be. Check the storage space. Consider camera quality. Consider phone battery life.,xxx,xxx,xxx,0
22,22,22,xxx,xxx,How to Distress Cabinets - Weathering and Staining Cabinets,xxx,"Protect your  work area. Remove knobs, handles, and any other hardware. Sand down the entire surface of the cabinet using a 60 to 80 grit sandpaper. Vacuum your work area and wash the cabinets down to get rid of any dust. Mask off the areas you do not want to be painted with painter's tape. Rub a stain or glaze into the surface of the wood using a piece of cloth. Apply wax or petroleum jelly to the areas you want to distress. Apply a few coats of acrylic or latex furniture-grade paint, letting each layer to dry in between. Lightly sand the cabinet again once the paint is fully dry, and be sure to remove all the dust. Consider applying some antiquing glaze for an aged look. Remove excess glaze, if necessary. Apply three coats of a clear sealer, allowing each coat dry before applying the next one. Make sure that the sealer has fully cured before you replace the hardware on the cabinets.",xxx,xxx,xxx,1
23,23,23,xxx,xxx,How to Have Good Manners (Girls),xxx,Don`t always think about yourself. Manners help people get along together. Good impressions always lead up to good judgments by people. Choose your words carefully. Eat appropriately.,xxx,xxx,xxx,0
24,24,24,xxx,xxx,How to Stay Friends With a Guy Friend That Asked You Out - Setting Boundaries If He Won't Take No For an Answer,xxx,Keep texting to a minimum. Avoid being alone with him. Avoid being physically affectionate. Avoid intimate conversations. Talk on the phone as little as possible. Go to girlfriends to vent or cry.,xxx,xxx,xxx,0
25,25,25,xxx,xxx,How to Buy Healthy Food on a Budget - Familiarize Yourself with Various Markets,xxx,Shop in bulk for items that you know will be used before the expiration date. Discover ethnic markets. Venture over to some discount food stores to see if there are any possible sale items that might be worth a try. Shop at local farmers markets to find healthier options and more savings.,xxx,xxx,xxx,0
26,26,26,xxx,xxx,How to Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS,xxx,Get an old AT&T iPhone. Get a prepaid AT&T GoPhone. Power down your iPhone. Remove the iPhone SIM card. Remove the GoPhone SIM card. Replace the iPhone SIM card. Make a call. Enable wireless data.,xxx,xxx,xxx,1
27,27,27,xxx,xxx,How to Bake Eggs - Making Shirred Eggs,xxx,"Preheat your oven to 425 °F (218 °C). Grease a muffin tin with a light coat of cooking spray. Crack 1 egg into each muffin tin or ramekin. Pour 1 to 2 teaspoons of heavy cream over each egg. Season the eggs with salt, pepper, and grated cheese, if desired. Bake the eggs for 7 to 12 minutes. Serve the eggs as soon as you take them out of the oven.",xxx,xxx,xxx,1
28,28,28,xxx,xxx,How to Install Internet Explorer - Using Windows 10,xxx,Check to see if you already have Internet Explorer. Go to Microsoft's Internet Explorer page. Scroll down and click Download Internet Explorer 11 (32/64-bit). Press Ctrl+J in your web browser. Click the file that begins with EIE11_EN. Click Yes to confirm. Click Install. Click Restart now.,xxx,xxx,xxx,1
29,29,29,xxx,xxx,How to Update Your Browser - Updating Apple Safari on Mac OS X,xxx,"Click on the Apple menu and select “System Preferences.” Click on “App Store"" and then ""Show Updates.” The Updates window will display on-screen. Browse the list of updates to locate updates for your Safari browser. Click on the “Update” button next to the Safari update. Type in the administrator password for your Mac computer at the prompt.",xxx,xxx,xxx,1
30,30,30,xxx,xxx,How to Write a Hypothesis for an Essay - Composing the Hypothesis,xxx,"Begin by organizing your research. Look at previous studies that focus on what you want to do. Determine what part of the experiment you will manipulate. Based on your research, predict how the experiment will turn out. Write a formal hypothesis. Be as specific as possible. Have someone read over your hypothesis.",xxx,xxx,xxx,1
31,31,31,xxx,xxx,How to Cook Freekeh - Freekeh Pilaf,xxx,"Sauté the onions. Soak the freekeh in cold water. Drain the freekeh. Add the freekeh and spices to the onion. Add the stock, salt, and pepper. Simmer for 15 minutes. Let stand. Mix the yogurt, lemon juice, and garlic. Stir the herbs into the pilaf. Serve with yogurt and pine nuts.",xxx,xxx,xxx,1
32,32,32,xxx,xxx,How to Become a Singer or Actress As a Teenager - Practicing Your Craft,xxx,Invest in training. Train yourself if you can't afford professional training. Audition as much as possible. Use knowledge from auditions to become better. Try out for talent shows. Cultivate yourself as a triple threat. Be wary of schemes.,xxx,xxx,xxx,0
33,33,33,xxx,xxx,How to Communicate Emotion Through Touch - Expressing Other Emotions with Touch,xxx,Gain a person’s attention. Let a person know you’re in charge. Reveal surprise. Disclose fear. Indicate anger.,xxx,xxx,xxx,0
34,34,34,xxx,xxx,How to Boil Cabbage - Boiling the Cabbage,xxx,Bring water to a gentle boil over medium-high heat. Add the cabbage to the boiling water. Cook uncovered at a simmer or gentle boil. Remove the cabbage from the pot. Season the cabbage.,xxx,xxx,xxx,1
35,35,35,xxx,xxx,How to Answer What Interests You About This Job - Showing Why You Like the Company,xxx,Do your research. Pay attention to the culture. Make notes. Incorporate what you know into your answer.,xxx,xxx,xxx,1
36,36,36,xxx,xxx,How to Teach a Child to Use the Telephone,xxx,"Let your child hold the phone without pushing any buttons, while you point to the buttons and explain which button does what, and tell him/her which buttons s/he should NEVER touch. Let your child answer the phone, with a 'script' that you write out for him/her. When your child is comfortable with this, and has whatever you want him/her to say memorized, let your child begin to answer the phone by him/herself. Let your child begin to call his/her friends/relatives. After your child is comfortable with this, and you are comfortable with letting him/her do this, you may let him/her answer/make calls whenever!",xxx,xxx,xxx,1
37,37,37,xxx,xxx,How to Help when Someone Dies - Performing Practical Tasks,xxx,Sit down with the bereaved person and make a to-do list. Co-organize the funeral services. Act as an intermediary with officials. Make meals. Clean and organize the house. Provide childcare. Launch a fundraising drive.,xxx,xxx,xxx,0
38,38,38,xxx,xxx,How to Find Fulfilling Work - Finding a Possible Career Path,xxx,Ask yourself about the legacy you want to leave. Make a list of options. Narrow down the list. Identify barriers preventing you from being who you want to be. Accept the confusion.,xxx,xxx,xxx,1
39,39,39,xxx,xxx,How to Talk to Someone with Disordered Eating During the Holidays - Avoiding Stereotypes,xxx,Stop making assumptions about what disordered eating looks like. Offer support without commenting on their appearance. Show gratitude for their presence around the holidays.,xxx,xxx,xxx,0
40,40,40,xxx,xxx,How to Connect Jambox to Mac - Turning On Bluetooth on your Mac,xxx,"Click the ""Apple"" menu. Click System Preferences. Click the ""Bluetooth"" icon. Click Turn Bluetooth On.",xxx,xxx,xxx,1
41,41,41,xxx,xxx,How to Study Using Index Cards - Using Notecards with Different Systems of Studying,xxx,Decide on an index card format. Take notes over a specific topic. Outline your essay on cards. Take notes over specific sources. Create practice tests. Treat studying as a game.,xxx,xxx,xxx,0
42,42,42,xxx,xxx,How to Issue a Refund - Using Google Payments Merchant Center,xxx,"Sign in to your Google Payments Merchant Center account. Click on the order for which you want to issue a refund. Click on “Refund order” in the right sidebar. Select the reason for the refund from the dropdown menu, then click “Refund order.” Google will immediately process the refund.",xxx,xxx,xxx,1
43,43,43,xxx,xxx,How to Help Stop Sex Trafficking - Taking Individual Action,xxx,Write a letter to your representatives. Volunteer at a local organization dedicated to helping victims. Write a letter to the editor of a local newspaper or magazine. Talk to your friends and family members about it. Offer survivors legal services if you are an attorney. Provide low-cost medical services if you are a healthcare provider. Report stories about sex trafficking if you are a journalist.,xxx,xxx,xxx,0
44,44,44,xxx,xxx,How to Winterize Your Car - Checking the Mechanics,xxx,Change your engine oil. Check your belts and hoses. Replace old coolant with antifreeze. Make sure your 4-wheel drive is working. Check your battery. Check your defrosting and heating units.,xxx,xxx,xxx,0
45,45,45,xxx,xxx,How to Sleep with a Cough - Hydrating Your Breathing Passages,xxx,Drink water during the day to stay hydrated at night. Take a steamy shower or bath to wind down at the end of the day. Enjoy hot tea with honey before bedtime. Turn on a humidifier in your bedroom.,xxx,xxx,xxx,0
46,46,46,xxx,xxx,How to Tell if You Genuinely Like Someone - Recognizing Signs of a Crush,xxx,Determine if you leave a date with them feeling happy. Figure out if you feel excited when they call or text you. Recognize when you see things that remind you of them. Spend time with other people to see if you miss them. Notice if you contact them first when you get good or bad news.,xxx,xxx,xxx,0
47,47,47,xxx,xxx,How to Make a Guy Want You - Drawing Him In Further,xxx,Let him know your feelings. Touch him or graze past him. Meet his friends and get them to like you. Follow up on important events and dates. Spend more time together.,xxx,xxx,xxx,0
48,48,48,xxx,xxx,How to Help Someone Who is Moving - Helping During the Move,xxx,Show up early if you have agreed to help load and physically move the items. Bring coffee and donuts. Help get the moving truck. Assist in organizing the movers. Be ready to fetch whatever your friend or the movers need. Use your strength if you have it.,xxx,xxx,xxx,0
49,49,49,xxx,xxx,How to Get Stains Out of Carpet - Maintaining Carpets and Preventing Stains,xxx,Get your carpet cleaned every year. Place mats in high-risk areas. Vacuum frequently. Keep a dehumidifier running in your house. Clean all prospective stains immediately.,xxx,xxx,xxx,0
50,50,50,xxx,xxx,How to Deal With Neurotic Twitching - Dealing with Neurotic Twitching,xxx,Be patient and don't assume the worst. Don't get frustrated with diagnosing. Don't pay too much attention to it. Consider some form of counseling or therapy. Ask your doctor about medication.,xxx,xxx,xxx,0
51,51,51,xxx,xxx,How to Fight Burnout at Work - Taking Care of Yourself,xxx,Take short mental breaks. Eat right. Get some rest. Work out to relieve stress. Plan some time off. Socialize outside of work.,xxx,xxx,xxx,0
52,52,52,xxx,xxx,How to Determine if You Can Do a Home Remodel Yourself - Weighing the Cost of the Repair,xxx,Ask yourself whether it's worth the time. Consider whether the mess is worth it. Think about whether you'll actually save money. Don't do it just for the resale value.,xxx,xxx,xxx,0
53,53,53,xxx,xxx,How to Tell the Difference Between Detachment and Indifference,xxx,"Consider some common situations where detachment makes sense. Consider the following situations where detachment is critical. Try finding some examples in your own life where detachment paid off in a positive or productive way. Take closer look at indifference and apathy. Consider times when you may have been indifferent. Hopefully this has brought clarity, but now lets consider gray areas. Consider gray area examples where decisions are not always simple.",xxx,xxx,xxx,0
54,54,54,xxx,xxx,How to Take Up Speedcubing - Preparing with Basic Skills,xxx,Start with a basic Rubik's Cube. Keep solving.,xxx,xxx,xxx,1
55,55,55,xxx,xxx,How to Flirt With a Guy Online - Behaving Online,xxx,Write properly. Be civil with your posting. Try to be nice to everyone. Keep your public flirting focused on one person.,xxx,xxx,xxx,0
56,56,56,xxx,xxx,How to Set Up Guitar Pedals - Using an Effects Loop,xxx,Examine your amp. Place your delay and reverb effects in the amp's effects loop. Move volume and modulation into the effects loop.,xxx,xxx,xxx,1
57,57,57,xxx,xxx,How to Uninstall a Program - Linux,xxx,Open the terminal. Display a list of all the installed programs. Uninstall a program. Review what will be uninstalled. Old package installers are taking up too much space.,xxx,xxx,xxx,0
58,58,58,xxx,xxx,How to Train Great Danes - Undertaking Dog Training Basics,xxx,Start early. Never beat your dog. Reward your Great Dane for proper behavior. Express dissatisfaction firmly and calmly. Be patient. Socialize your dog early.,xxx,xxx,xxx,0
59,59,59,xxx,xxx,How to Care for a Chilean Rose Tarantula - Feeding Your New Tarantula,xxx,Let your pet adjust. Offer your tarantula crickets. Dust the crickets with vitamins.,xxx,xxx,xxx,0
60,60,60,xxx,xxx,How to Buy a Remote Starter for a Truck,xxx,Determine what kind of remote starter you need for your particular type of truck. Make a list of the features you want. Search the Internet for reputable remote starter system manufacturers. Contact manufacturers and ask them to send you all of their remote starter product brochures. Read over the brochures and decide which systems have all of the features you need and want. Research the remote starter systems that apply to your specific needs online. Find retailers that sell the remote starter you are interested in and shop around for the best price.,xxx,xxx,xxx,1
61,61,61,xxx,xxx,How to Read While Walking - Formulating Your Plan,xxx,Choose a general location that suits your needs and preferences. Avoid unsafe locations. Take a dry run. Know your route like the back of your hand. Decide on an interesting and appropriate book. Plan to not take notes. Pick a good time and day. Install a reading rack on your home treadmill if you plan to use it.,xxx,xxx,xxx,0
62,62,62,xxx,xxx,How to Make Your Computer Run Faster - Macintosh,xxx,"Check your hard disk space. Use your Activity Monitor to find out which applications are using the most CPU. Uninstall unnecessary programs. Delete, compress or remove large and unnecessary files. Prevent unnecessary programs from starting when the Mac boots. Repair disk permissions. Remove unused languages. Add more RAM to your computer.",xxx,xxx,xxx,0
63,63,63,xxx,xxx,How to Change Your General Preferences on Safari - iOS,xxx,"Tap the Settings app on your device. Scroll down and tap ""Safari."" Tap ""Search Engine"" to change your default search engine. Tap ""Passwords"" to view your stored passwords. Use the ""AutoFill"" menu to set your AutoFill settings. Switch your Favorites folder with the ""Favorites"" option. Choose how links are opened with ""Open Links."" Turn on the pop-up blocker to prevent pop-ups. Enable ""Do Not Track"" to help prevent websites from tracking your browsing. Tap ""Clear History and Website Data"" to delete your browsing data.",xxx,xxx,xxx,1
64,64,64,xxx,xxx,How to Use Bing Maps - Viewing Maps,xxx,Visit Bing Maps. Identify a location. View the map.,xxx,xxx,xxx,1
65,65,65,xxx,xxx,How to Wear Enamel Pins - Putting Them on a Jacket,xxx,Attach a few enamel pins to your collar for an eye-catching accent. Wear a bunch on the front of your denim jacket to add design. Spice up your cuffs by attaching pins to them. Be bold by adding pins to the lapels of your leather jacket.,xxx,xxx,xxx,0
66,66,66,xxx,xxx,How to Make Your Boyfriend Miss You - Increasing His Feelings of Attraction,xxx,Look your best. Show off your great personality. Make eye contact. Wear red. Choose a signature scent. Maintain a social life outside of your relationship.,xxx,xxx,xxx,0
67,67,67,xxx,xxx,How to Collect Rainwater for Drinking - Filtering the Rainwater,xxx,Use the rain barrel’s faucet to drain the water into a container. Run the water through an activated carbon filter to remove particulate. Boil the water for 1 minute to kill any germs or bacteria in the water. Disinfect the water with chlorine bleach if you’re unable to boil it. Test the rainwater every 1–2 months for pollutants and bacteria.,xxx,xxx,xxx,1
68,68,68,xxx,xxx,How to Apply for a Utility Patent - Evaluating Your Invention's Patentability,xxx,Meet the basic requirements for patentability. Determine your invention's classification. Conduct a prior art search. Decide whether you need international protection.,xxx,xxx,xxx,1
69,69,69,xxx,xxx,How to Make Caramel Frosting - Making Classic Caramel Frosting,xxx,"Place a 2-quart sized saucepan over medium heat. Add the brown sugar into the pan and stir. Let the mixture boil for 2 minutes, then pour and stir in the milk. Set the saucepan on the side until it's cooled down. Pour, a little at a time, the powdered sugar; stir as your pour. Fill a bowl with cold water. Finished.",xxx,xxx,xxx,1
70,70,70,xxx,xxx,How to Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,xxx,Decide what parts of your chair you want to cover. Determine what shape and size slipcovers will fit your chair. Decide which type of fabric you want. Fasten the slipcover onto your chair.,xxx,xxx,xxx,1
71,71,71,xxx,xxx,How to Store Collard Greens - Storing Fresh Collard Greens,xxx,Do not wash the collard greens. Place the collard greens in an air-tight plastic bag. Refrigerate the collard greens. Wash before preparing.,xxx,xxx,xxx,1
72,72,72,xxx,xxx,How to Install an SSD in Your Laptop - Installing the SSD,xxx,Open Start . Click . Click Shut Down. Disconnect all cords connected to your laptop. Put on EDS wrist straps. Remove the battery. Remove access panel. Remove old hard drive. Place SSD in the hard drive slot. Put the battery and access panel back on. Boot up your laptop.,xxx,xxx,xxx,1
73,73,73,xxx,xxx,How to Blow Dry Curly Hair with a Diffuser - Blowing It Dry,xxx,Flip your hair upside down. Turn on the diffuser and hold it pointed up. Lay a handful of curls in the bowl of the diffuser. Lift the diffuser until it touches your head to dry your roots. Move on to the next section of hair. Continue until your hair is mostly dry.,xxx,xxx,xxx,1
74,74,74,xxx,xxx,How to Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant,xxx,Identify the perpetrator. Choose your court. Draft your complaint. File your complaint. Have the defendant served. Wait for a response.,xxx,xxx,xxx,1
75,75,75,xxx,xxx,"How to Learn English Grammar - Studying Grammar on the ""Sentence"" Level",xxx,Learn how to structure a basic sentence. Maintain correct subject/verb agreement. Form compound sentences. Practice using conditional phrases. Understand how to use clauses. Manage punctuation.,xxx,xxx,xxx,0
76,76,76,xxx,xxx,How to Clean Under Laptop Keyboard Keys - Putty,xxx,"Buy special cleaning putty. Place putty on the keyboard. The putty will form its shape over the keys and seep through the cracks. Pull the putty carefully off the keyboard, so as to not break off the keys. Repeat all over the keyboard for a thorough clean.",xxx,xxx,xxx,1
77,77,77,xxx,xxx,How to Have Jehovah's Witnesses Go Away - Interacting with a Jehovah's Witness,xxx,Answer the door. Interrupt them. Be honest. Politely decline. Close the door.,xxx,xxx,xxx,1
78,78,78,xxx,xxx,How to Make an Ender Chest in Minecraft,xxx,Obtain eight obsidian blocks. Obtain an ender pearl. Obtain a blaze rod. Build a crafting table. Craft blaze powder. Craft an Eye of Ender. Craft the Ender Chest.,xxx,xxx,xxx,1
79,79,79,xxx,xxx,How to Dye Crocs Shoes - Filling the Bin with Your Paints,xxx,Go outside and fill a plastic bin with water. Apply spray paint to the surface of the water. Spray additional colors in the middle of the water if you want multiple colors.,xxx,xxx,xxx,1
80,80,80,xxx,xxx,How to Pull Your Foreskin Back Without Pain - Managing a Tight Foreskin,xxx,Pull back your foreskin slowly and gently. Retract your foreskin during a shower or bath. Pull a tight foreskin back incrementally over days or weeks. Try more intensive foreskin-stretching exercises if needed. Consult your doctor for guidance on a painfully-tight foreskin.,xxx,xxx,xxx,0
81,81,81,xxx,xxx,How to Choose a Designated Driver - Creating a Backup Plan,xxx,Call a taxi. Use public transportation. Make use of designated driver programs. Have a designated friend or family member on speed dial.,xxx,xxx,xxx,0
82,82,82,xxx,xxx,How to Alleviate Headaches During Pregnancy - Recognizing More Serious Problems,xxx,Look for symptoms of high blood pressure. Recognize the signs of pre-eclampsia. See a doctor if symptoms persist or get worse.,xxx,xxx,xxx,1
83,83,83,xxx,xxx,How to Identify a Seasonal Allergy Reaction in Young Children - Identifying Patterns,xxx,Differentiate allergies from a cold. Pay attention to the timing of symptoms. Consider family history.,xxx,xxx,xxx,0
84,84,84,xxx,xxx,How to Fix Stuck Bicycle Brakes - Using Advanced Fixes,xxx,Bleed and replace the brake fluid. Consult your user's manual for more specific instructions. Adjust the calipers for rim brakes. Take your bike to a mechanic.,xxx,xxx,xxx,0
85,85,85,xxx,xxx,How to Buy a Tuxedo - Choosing a Style,xxx,"Pick a jacket that suits your style. Select a color, fabric and trim. Choose a lapel facing. Decide on a style of accessories. Pick out a tuxedo shirt.",xxx,xxx,xxx,0
86,86,86,xxx,xxx,How to Help Stop Police Brutality - Taking Political Action,xxx,Take part in protests and sign petitions. Call your elected officials. Elect public officials who support police reform. Run for a local public office to try and fix the problem yourself.,xxx,xxx,xxx,0
87,87,87,xxx,xxx,How to Get over the Flu Quickly - Trying Natural Remedies,xxx,Eat more foods that are rich in vitamin C or take a supplement. Drink 15 mL (0.51  fl oz) of elderberry syrup daily. Try taking a zinc lozenge at the first signs of the flu. Take a daily vitamin D supplement to help prevent the flu. Drink a cup of Echinacea tea at the first signs of the flu.,xxx,xxx,xxx,0
88,88,88,xxx,xxx,How to Start an Online Business As a Kid - Brainstorming,xxx,"Make a list of things you like to do and are good at. Consider how you can make your product unique, high quality, and something people might want or need. Write down your ideas. Name your business/brand and products. Do some market research. Determine shipping costs. Send out your orders as fast as you can. Take advantage of postal discounts. Think about where on the Internet you will sell your product or service. Plan on how you will accept payment.",xxx,xxx,xxx,0
89,89,89,xxx,xxx,How to Make a Pumpkin Cake - Vegan Pumpkin Cake,xxx,Prepare to make the cake. Whisk the sugar and wet ingredients. Sift the dry ingredients. Combine the wet ingredients with the dry. Pour the cake batter into the pan. Bake the cake. Have the cake cool. Frost and decorate the cake. Serve and enjoy!,xxx,xxx,xxx,1
90,90,90,xxx,xxx,How to Recover Deleted Files from Your Computer - Using a Data Recovery Tool for Windows,xxx,"Select a data recovery program. Go to https://www.piriform.com/recuva/download in a browser. Click Download under the ""FREE"" option. Start the Recuva installer. Click the orange Install button. Click the orange Run Recuva button. Click Next to start the recovery wizard. Select a file type and click Next. Select the file's original location. Click Next. Check the ""Enable Deep Scan"" box. Click Start. Locate and select your deleted file(s). Click the Recover… button.",xxx,xxx,xxx,1
91,91,91,xxx,xxx,How to Keep a Pet Snail - Making a Habitat,xxx,Buy a plastic tank or container for your snail. Cover the bottom of the container with 1-2 inches of the substrate of your choice. Decorate the habitat with things your snail can crawl on and hide under. Pay attention to the temperature and humidity of the habitat.,xxx,xxx,xxx,1
92,92,92,xxx,xxx,How to Recognize and Treat Postpartum Psychosis - Diagnosing Postpartum Psychosis,xxx,Get medical help immediately. Provide as much information as possible. Rule out potential medical causes. Distinguish between depression and psychosis. Get a specific diagnosis.,xxx,xxx,xxx,1
93,93,93,xxx,xxx,How to Check Your SAT Score - Evaluating Other Relevant Information,xxx,Check your college readiness. Assess your score. Determine your superscore.,xxx,xxx,xxx,1
94,94,94,xxx,xxx,How to Peel and Devein Shrimp - Deveining Shrimp,xxx,Use a paring knife to make a slit along the shrimp's back. Use the end of the knife to lift the vein slightly. Pull the vein out gently with your fingers. Check the shrimp's belly. Rinse your fingers and the shrimp. Keep the shrimp cold until you're ready to cook them.,xxx,xxx,xxx,1
95,95,95,xxx,xxx,How to Become School Head Boy or Head Girl - Applying for the Position,xxx,Receive a nomination from a teacher. Nominate yourself for the role. Write a letter of application.,xxx,xxx,xxx,0
96,96,96,xxx,xxx,How to Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer,xxx,Launch My Coach. Set the workout time. Log in. Add a workout. Go back to the dashboard. View the workouts. Start a workout. Take a rest. Continue the workout. Select another workout.,xxx,xxx,xxx,1
97,97,97,xxx,xxx,How to Live an Active Life with COPD - Managing Your COPD,xxx,Quit smoking. Prevent infections. Eliminate environmental irritants. Avoid medications that suppress your ability to cough. Visit the doctor regularly. Be consistent with your medications. Have a COPD action plan. Utilize nutritional therapy. Monitor your weight. Consider joining a support group. Talk to a therapist. Educate yourself about COPD.,xxx,xxx,xxx,0
98,98,98,xxx,xxx,How to Preserve a Butterfly - Mounting Your Butterfly,xxx,Place the butterfly in a jar with a wet paper towel for 2-7 days. Push a mounting pin through the center of the butterfly’s thorax. Set the butterfly’s body in the spreading board. Spread and pin the top wings out so they’re perpendicular to the butterfly’s body. Open the bottom wings until the pattern lines up with the top wings. Hold the wings flat with a strip of wax paper. Let the butterfly dry on the board for 2 days before removing the pins around the wings.,xxx,xxx,xxx,1
99,99,99,xxx,xxx,How to Practice Darkness Meditation - Cultivating the Required Mindset and Environment,xxx,Consider your current feelings regarding darkness. Try to foster positive associations with the dark. Find comfortable clothing. Get comfortable in the right room. Consider aiming for a dark room. Clear your mind a bit before attempting to meditate.,xxx,xxx,xxx,0
