process_id,process_name,step_1,step_2,step_3,step_4,step_5,step_6
6_25,Cook Goose Breasts - Pan-Roasted Goose Breasts,Salt the goose breasts and bring them to room temperature, Preheat the oven to 375 °F (191 °C) and cut slashes across the skin, Heat olive oil in a skillet over medium-high heat, Sear the goose breasts for 8 minutes, Put the skillet in the oven and roast the breasts for 15 minutes, Serve the pan-roasted goose breasts
6_26,Sew on a Wig - Preparing Your Hair and the Wig,Choose a lace wig, Braid your hair, Try on the wig, Place clips to hold the wig while you sew, Cut the lace as needed to match your natural hairline, Thread a hair weaving needle with 18” (46 cm) weave thread
6_27,Peel a Pumpkin - Peeling with a Vegetable Peeler,Wash the pumpkin to remove dirt and contaminants and soften the skin, Cut the rounded top and bottom off of the pumpkin to create flat surfaces, Set up the pumpkin and the peeler," Peel the skin using the peeler, starting from the side closest to you", Rotate the pumpkin to continue the peeling process, Inspect the pumpkin and check to make sure all of the skin is peeled
6_28,Whittle a Ball in a Cage - With Hand Tools,"Start with a small block of soft wood (pine, basswood or balsa) 1"" wide by 1"" tall, 4"" long", Mark on the wood with a pencil the trace lines as shown in the image, Chisel cavities on both sides of the outlined ball, Turn the block over and repeat, Cut the slivers from the ends of the block, Carefully whittle the slivers from the ball until it can roll freely within the frame
6_29,Survive in the Woods - Starting a Fire,"Find small, dry material to use as tinder", Gather small twigs and branches to use for kindling, Collect larger logs for fuel, Build a teepee structure with the tinder and kindling, Create a fire plough to ignite the kindling and start the fire," Use a fire to keep warm, cook your food, and purify your water"
6_30,Repair a Book's Binding - Reattaching Loose Pages,Purchase an acid-free book or binding glue, Remove the loose pages, Apply a thin layer of the glue, Set the pages back on the spine, Hold the book closed with a rubber band, Let the book dry for 24 hours
6_31,Write Headings for an Article - Writing Headings for APA Articles,Include a running head/page header, Compose a level one heading, Create a level two heading, Write a level three heading, Create a level four heading, Write a level five heading
6_32,Submit a Link to a Web Directory,Select the category that fits the website topic," After choosing the category, click the submit link button this will open a Submission request form page"," After filling the form, click continue/ Submit site", Then a Message will be displayed as Link: submitted and awaiting approval, Submit another link, Finally save the URL of the page where the link will be submitted for future reference
6_33,Cook Hot Dogs - Frying Hot Dogs,Cut up some hot dogs, Heat some oil in a frying pan, Place the hot dog pieces in the frying pan, Turn the hot dog pieces, Drain the hot dog pieces, Serve the hot dogs
6_34,Improve Sperm Morphology - Using Nutrition,Follow a healthy diet to get more sperm-protecting nutrients, Eat 2 to 3 servings per day of foods that are rich in Vitamin C," Vitamin C has been shown to promote the overall quality of sperm, including sperm morphology, so make sure that you eat plenty of vitamin C-rich foods every day", Consume 2 to 3 daily servings of vitamin E-rich foods, Get lycopene from 2-3 daily servings of tomatoes and tomato products, Use olive oil instead of other types of fat
6_35,Make a Tight Turn Quickly in a Car - Using Your Handbrake,Practice this turn in an open space that's free of obstructions, Drive into the turn at a fast speed, Push down on the clutch while pulling on the handbrake in a manual car, Turn your wheel into the turn, Push your handbrake down and let the wheel spin in the other direction, Turn back into the direction of the turn
6_36,Burn Essential Oil - Using a Traditional Oil Burner,Choose a traditional candle burner for its simplicity, Fill the ceramic bowl on the top of your burner with water, Add 10 drops of your essential oils to the water, Insert and light your tea light, Limit the time you burn oils to 30-60 minutes, Wash your burner in between uses to prevent residue build-up
6_37,Seed a Pomegranate By Hand - Removing Seeds in Water,Fill a bowl of cold water, Score your pomegranate into four quarters, Soak the quarters in the cold water, Run your fingers through each quarter slice and pull off the red outer skin, Gently pry the seeds from the pomegranate skin, Scoop the seeds up and place them in a bowl
6_38,Glue Fabric to a Hat Frame,Obtain milliner's glue and a small paintbrush, Cover the surface of the hat frame where the fabric is to be applied with glue, Apply another coat of glue to the hat frame, Press and smooth one small area at a time," Be sure material has adhered to frame on each space glued, before going on to the next space", Dry
6_39,Make Tumblr Edits - Editing Posts Using URLs,"Log into Tumblr, then navigate to the URL of the post you want edited", Replace the word “post” with “edit” in the URL, Delete the title of your post from the end of the URL," Press “Enter,” then wait for the Web page to refresh"," Make the necessary changes to your post, then click “Save",” The edits made to your Tumblr post are now saved
6_40,Preserve Lemons - Prepping the Lemons,Choose ripe Meyer lemons, Sterilize your canning jar, Scrub the lemons' skins, Slice off the stems," Slice the lemons lengthwise, leaving the bases attached", Make a perpendicular lengthwise slice
6_41,Contact Max Factor - Contacting via Twitter,Go to Max Factor’s official Twitter profile, Sign into Twitter, Click on “Tweet to Max Factor UK,” A page will open that will allow you to begin typing your message to Max Factor, Type your message and click “Tweet,"” Write your question, concern, compliment, or review in the message box, and send your message"
6_42,"Cut a Cabbage Into Wedges - Cutting Long, Skinny Cabbage",Know which varieties of cabbage this applies to, Remove the outer leaves, Cut the head in half lengthwise, Cut each half in half again," Cut crosswise, if desired", Rinse the cabbage
6_43,Paint Bamboo Furniture - Painting the Furniture,Choose an enamel spray paint for your furniture, Shake the can of paint and keep it 6 in (15 cm) from your furniture, Apply a thin coat of the paint to the bamboo furniture, Let the spray paint dry for 30 minutes, Spray on additional coats until the furniture has an even finish," Reattach the upholstery, cushions, and hardware if needed"
6_44,Clean Rust Off Cast Iron - Using Vinegar,Mix equal parts white vinegar and water, Soak the pan, Check the pan regularly as it soaks, Wash the cast iron, Place the cast iron in the oven, Re-season your pan
6_45,File for a K1 Visa - Filing Your Petition with USCIS,Download the petition and instructions, Gather necessary documents to support the petition, Complete your petition, Get a check or money order for the filing fee, Mail your package of documents to USCIS, Wait to hear back from USCIS
6_46,Clean Skylights - Cleaning Skylights from the Outside,Set up a ladder on the side of the house to access the roof, Soak a soft sponge in the cleaning solution and grab a dry towel, Wipe the exterior of the skylight with a dry towel to remove loose debris, Wipe the soapy sponge over the surface of the skylight, Use a mix of vinegar and water for stains like sap and hard residue, Climb down the ladder and spray down the skylight with a hose
6_47,Make a Candy Wrapper Collage - Fabric collage,Collect the pieces of fabric you're going to use for making the collage, Check the textures, Select a suitable background, Create the design on paper by drawing it into place, Cut and arrange the fabric materials following your design, Allow to dry
6_48,Make Soursop Juice - Mashing the Soursop,Select a ripe soursop, Wash your hands, Wash the soursop under running water, Peel the fruit, Place the soursop into a large bowl and add the milk or water, Squeeze the fruit with your hands
6_49,Save a wikiHow Article to Read Offline - iOS App,Download the wikiHow App for your iPhone or iPad, Open the wikiHow app on your iPhone or iPad, Open the article you want to save, Hit Options, Tap Bookmark, View the saved article later
6_50,Separate Sand and Salt - Carrying Out the Experiment,Gather your supplies, Mix equal parts sand and salt into a pan, Add water to the sand and salt, Heat the mixture, Strain the saltwater from the sand using a coffee filer and funnel, Boil the saltwater
6_51,Make Rock Cakes - Variations,Add cinnamon and nutmeg for a spiced rock cake, Add 1 cup of oats for classic British rock cakes, Add chopped apples and cinnamon for apple cakes, Add shredded coconut for Jamaican rock cakes, Substitute chocolate for dried fruit for sweeter cakes, Add lemon juice or orange juice for a moist citrus rock cake
6_52,File a Complaint Against an Arizona Real Estate Agent - Complaining to the Arizona Department of Real Estate,Determine that you have a complaint within ADRE jurisdiction, Prepare a complaint, Write a narrative statement of your complaint, Provide copies of all related documents, Submit your complaint package, Await a response to your complaint
6_53,Apply Black Eyeshadow - Constructing an Edgy Eyeshadow Look,Prime your eyes with your primer of choice, Apply a base color all over your eyelid, Blend the color upward, Pat black eyeshadow onto the center of your eyelid, Smooth the upper edge of the black eyeshadow toward your eyebrow, Line the outer edge of your lower eyelash line in black eyeshadow
6_54,Test the Heating Element in a Dryer - Examining an Electric Dryer,Unplug your electric dryer before performing any tests, Remove the heating coil panel with a screwdriver, Attach the black and red multimeter probes to the leads on the heating coils," Use a nut, bolt, and 2 washers to connect any breaks in the heating coils", Test the thermostat to see if itâ€™s giving a proper reading, Put the dryer back together and plug it in
6_55,Dispose of Coffee Grounds - Making a Compost Heap,Place a large lidded compost bin in a shaded dry spot, Start with a layer of course branches and twigs to promote air flow, Add a 6 in (15 cm) layer of leaves and yard clippings," Toss in coffee grounds, fruit and veggie scraps, and eggshells", Dampen the pile when you add dry materials, Turn the pile weekly to speed up decomposition
6_56,Make an Automatic Chicken Feeder - Cutting Out Your Pieces,Purchase a cheap large bin, Mark the bin where you want to make holes, Make holes with a hole saw, Cut openings on the inside end of the pipe fittings, Fit the pipe fittings in the holes, Make grain windows with pipe caps
6_57,Promote Root Growth - Encouraging Growth in Cuttings,Take a 2 to 3 in (51 to 76 mm) cutting from a healthy plant, Dip the end of the cutting in a small container of rooting powder, Push the cutting into a peat and pumice mixture, Water the mixture around the cutting to stimulate root growth, Wrap a plastic bag around the cutting in the pot to prevent it from drying out, Place the cutting in an area with bright light
6_58,Send a Message on Omegle on iPhone or iPad,Tap the Omegle app icon to open it," Tap Man, Woman or Anyone", Tap Chat, Tap the blue check mark when a match appears, Tap the text field to start a message, Press the blue arrow to send your message
6_59,Make a Motion at a Board of Directors Meeting - Reaching a Resolution,Listen to the presiding officer's statement of the question, Argue for your motion, Participate in the discussion and debate, Consider secondary motions, Vote on the motion, Help draft the resolution
6_60,Simulate a Fair Coin Toss With a Biased Coin - Steps,Find any coin, Designate one outcome heads, Designate another outcome tails, Flip the coin twice," If both tosses gave the same outcome, or if either toss landed on its edge or did something else not accounted for in steps 2 and 3, don't count either toss and redo step 4"," If you got heads before tails, count it as heads"
